# isEng+H1:H27lish,language,sentiment
0,de,0.4767
0,cs,0.8402
0,es,0
0,de,0.2244
0,es,0.7845
0,hu,0.4767
0,id,0
0,es,0
0,id,0.4767
0,vi,0
0,es,0.4767
0,id,0.5574
0,fr,0
0,es,0.4767
0,ro,0.4767
0,es,0.8074
0,pl,0.7003
0,id,0
0,es,0
0,pt,0.7003
0,ko,0
0,id,0.2023
0,hi,0
0,pt,0.4767
0,es,0
0,es,0.5859
0,vi,0
0,es,0.3818
0,ja,0.4574
0,zh-cn,0.34
0,tr,0.4767
0,ko,0.7906
0,vi,0.5994
0,ko,0.4215
0,es,0.7269
0,es,0
0,es,0.5719
0,ko,0
0,ko,0.4939
0,it,0.6249
0,fr,0.7506
0,ko,-0.8316
0,ko,0.2732
0,hu,0
0,zh_Hant,0.5106
0,ko,0
0,fr,0.4767
0,ko,0.128
0,ko,-0.4404
0,bn,0.4939
0,de,0.5994
0,no,0.5106
0,ko,0.2732
0,es,0
0,ru,0.4215
0,fr,0
0,th,0
0,el,0.4767
0,id,0
0,de,0.5267
0,id,0
0,pt,0.4767
0,es,-0.4939
0,it,0.7096
0,es,0.4767
0,de,0.7906
0,pt,-0.5994
0,et,0
0,id,0
0,es,0.4767
0,vi,0.4019
0,ru,0
0,ca,0
0,sv,-0.2263
0,no,0.4767
0,pl,0
0,ko,-0.1531
0,ko,0.25
0,fa,0.5574
0,hi,0.128
0,th,0.4939
0,es,-0.1068
0,es,0
0,zh-cn,0.8176
0,vi,0.4404
0,ko,0
0,de,-0.3612
0,ru,0
0,es,-0.1531
0,el,-0.5106
0,es,0.1531
0,es,0.4767
0,ja,0
0,sl,0.4767
0,es,0.4767
0,zh-cn,0.4767
0,fr,0
0,vi,0
0,es,0
0,pt,-0.8622
0,hi,0
0,ru,0.4767
0,ko,0.5562
0,es,0.4019
0,sv,-0.1779
0,ko,0.7506
0,fr,0.5859
0,es,0
0,id,0.3818
0,de,0.6369
0,ja,0
0,ko,0
0,ko,0
0,ko,0
0,ko,0
0,pt,0.4767
0,ko,0
0,id,0.6908
0,el,0.765
0,fr,0.1511
0,vi,0.4215
0,ko,-0.6249
0,es,0.7184
0,it,0.0772
0,fr,0.25
0,ko,-0.25
0,de,0
0,ko,0.1531
0,zh-cn,0
0,ko,-0.5574
0,ko,-0.1007
0,ko,0.3182
0,es,0.4767
0,ko,0.1779
0,fr,0.2023
0,ja,0
0,de,0.4767
0,ru,0.4767
0,ja,0.6124
0,ar,0.5255
0,ja,-0.25
0,pt,0.128
0,ko,0
0,pt,0.4215
0,es,0
0,ko,-0.6486
0,it,0.4767
0,fr,0
0,es,0
0,af,-0.4215
0,pt,0
0,fr,0.6124
0,ar,0.7351
0,id,-0.4215
0,pt,0.4019
0,sr,-0.1531
0,ar,0.4767
0,ko,0
0,ko,0.7003
0,ja,0
0,ja,0
0,es,0
0,de,0.1531
0,fr,0
0,zh,0
0,fr,0
0,it,0
0,de,0
0,fr,0.7906
0,de,-0.4767
0,it,0
0,es,0
0,de,0
0,el,0.4767
0,pt,0.1779
0,es,0
0,es,0.34
0,ko,0
0,ko,-0.34
0,iw,0
0,ja,0
0,ja,0
0,ja,0
0,ko,0
0,ja,0.4019
0,ko,0.25
0,ja,0.4019
0,ca,0.8625
0,ko,0
0,ko,0.765
0,fr,0.4019
0,ko,0.2263
0,fr,0.0772
0,ru,0.1779
0,ko,0.765
0,uk,0.4588
0,it,0.6249
0,th,-0.2263
0,da,0.4767
0,ko,-0.5574
0,ko,0
0,ko,0.4767
0,ko,0
0,ja,0.6808
0,el,0
0,uk,0.1779
0,ko,0
0,ko,0.5106
0,ko,0.0258
0,es,0.4215
0,pl,0.2263
0,pt,0.5423
0,es,0.4939
0,fa,0.4767
0,ko,0.3182
0,pa,0.296
0,zh-cn,0.6124
0,de,0.4019
0,nl,0.2732
0,th,0.4215
0,sw,0
0,es,0.3818
0,vi,0
0,vi,0
0,es,-0.4767
0,pt,0.296
0,es,0
0,id,0
0,pt,0.4019
0,it,0
0,it,0.8074
0,de,0.4767
0,vi,0
0,nl,0
0,ja,0
0,es,0
0,de,0
0,fa,0.4767
0,hr,0.4019
0,no,0
0,no,0.3612
0,ru,0.4215
0,uk,0
0,ko,0.3818
0,sr,0
0,ko,0.4767
0,pl,0.4767
0,fi,0.5574
0,zh-cn,0.4003
0,zh-cn,0
0,es,-0.5423
0,fa,0.6705
0,th,0.1531
0,ko,0.4404
0,et,0.4215
0,fr,0.7003
0,th,0.7579
0,ca,0
0,ja,0.2023
0,ko,0.4019
0,ko,0.34
0,vi,0
0,ja,0
0,ko,0
0,ko,0
0,ja,0.2732
0,es,-0.5994
0,ko,0
0,ko,0.3612
0,fa,-0.296
0,ja,0.4404
0,ko,0
0,zh-cn,-0.5994
0,vi,0
0,zh-cn,0
0,fr,0
1,en,0
1,en,0.3612
1,en,0
1,en,0
1,en,0.2023
1,en,0
1,en,0
1,en,0.128
1,en,0.4767
1,en,0.4767
1,en,0.0516
1,en,-0.4588
1,en,0.5106
1,en,-0.1027
1,en,-0.7506
1,en,0.5106
1,en,0.5574
1,en,0.4767
1,en,0
1,en,0.296
1,en,0.3612
1,en,0
1,en,0
1,en,-0.4023
1,en,0
1,en,0.4019
1,en,0.7269
1,en,0.3818
1,en,0
1,en,0.5267
1,en,0.4215
1,en,-0.4019
1,en,0.0772
1,en,0.4019
1,en,-0.0516
1,en,0.4215
1,en,0
1,en,0.4767
1,en,0
1,en,0
1,en,0
1,en,0
1,en,0.34
1,en,0.2023
1,en,0
1,en,0
1,en,0
1,en,0
1,en,0
1,en,0.25
1,en,0.4019
1,en,0
1,en,0
1,en,-0.4404
1,en,-0.8658
1,en,0
1,en,-0.1531
1,en,0.4019
1,en,0.3182
1,en,-0.4939
1,en,0.4215
1,en,0.4019
1,en,0.4019
1,en,0.2732
1,en,0.4215
1,en,0
1,en,0
1,en,-0.5267
1,en,0.5267
1,en,0
1,en,-0.2732
1,en,0
1,en,0
1,en,-0.2263
1,en,0.3612
1,en,0.128
1,en,-0.5106
1,en,0
1,en,0
1,en,0.4767
1,en,0.296
1,en,-0.5106
1,en,0.5267
1,en,0.0772
1,en,0.4215
1,en,0
1,en,0
1,en,0
1,en,0.4767
1,en,0.4767
1,en,0.1027
1,en,0.4767
1,en,0.4767
1,en,0
1,en,0.8442
1,en,0.4767
1,en,0.6597
1,en,0.4767
1,en,-0.5994
1,en,0.4767
1,en,0.4767
1,en,0.6597
1,en,0
1,en,0
