#quarter,sentiment
1,0.4767
1,0.8402
1,0
1,0.2244
1,0.7845
1,0.4767
1,0
1,0
1,0.4767
1,0
1,0.4767
1,0.5574
1,0
1,0.4767
1,0.4767
1,0.8074
1,0.7003
1,0
1,0
1,0
1,0.3612
1,0.7003
1,0
1,0.2023
1,0
1,0
1,0.2023
1,0
1,0
1,0.128
1,0.4767
1,0.4767
1,0.0516
1,0
1,0.4767
1,-0.4588
1,0.5106
1,0
1,0.5859
1,0
1,-0.1027
1,-0.7506
1,0.5106
1,0.5574
1,0.4767
1,0.3818
1,0
1,0.296
1,0.3612
1,0
1,0
1,-0.4023
1,0
1,0.4019
1,0.7269
1,0.3818
1,0
1,0.5267
1,0.4215
1,-0.4019
1,0.0772
1,0.4019
1,-0.0516
1,0.4574
1,0.34
1,0.4215
1,0
1,0.4767
1,0.4767
1,0
1,0
1,0
1,0
1,0.7906
1,0.5994
1,0.4215
1,0.34
1,0.7269
1,0.2023
1,0
1,0
1,0
1,0
1,0
1,0
1,0.5719
1,0.25
1,0.4019
1,0
1,0
1,0
1,0.4939
1,0.6249
1,-0.4404
1,-0.8658
1,0
1,-0.1531
1,0.4019
1,0.3182
1,-0.4939
1,0.4215
1,0.7506
1,-0.8316
1,0.2732
1,0
1,0.5106
1,0
1,0.4767
1,0.128
1,0.4019
1,-0.4404
1,0.4939
1,0
1,0.4019
1,0.5994
1,0.2732
1,0.4215
1,0.5106
1,0.2732
1,0
1,-0.2023
1,0.4404
1,0.4215
1,-0.6124
1,0.5106
1,0
1,0.3612
1,0
1,-0.34
1,0.3612
1,0.3818
1,-0.7003
1,0.34
1,0.8615
1,-0.2732
1,0
1,0
1,0.6369
1,0.4019
1,0
1,0.6597
1,0.4404
1,0.5719
1,0.6486
1,0.4019
1,0.1779
1,0.4404
1,0
1,0
1,0.5719
1,0
1,0.6249
1,0
1,0
1,0
1,0
1,0
1,0.0772
1,0
1,-0.4019
1,0
1,0
1,-0.5106
1,0
1,0
1,0
1,0
1,0.5423
1,0.0516
1,-0.1027
1,0
1,0
1,0
1,-0.2732
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,-0.4939
1,-0.5106
1,0
1,-0.4939
